name,address,비고
천하삼겹,대전 유성구 전민로22번길 40,
오리사냥,대전 유성구 유성대로1679번길 8-10,
대감막창갈매기,대전 유성구 전민로70번길 48,
칠성갈비,대전 유성구 전민로18번길 42,
속초세꼬시,대전 유성구 전민로18번길 42,
하남돼지집,대전 유성구 전민로14번길 45,
피그돈,대전 유성구 전민로34번길 62,
탄화정,대전 유성구 전민로6번길 93,
광세족발,대전 유성구 전민로22번길 51,
동읍리,대전 유성구 전민로22번길 52,
풍운양꼬치,대전 유성구 전민로34번길 54,
